baths,beds,days_on_market,hoa,lot_size,price,property_type,square_feet,year_build,zip
4.5,4.0,27,0.0,6316,2599900,single_family_residential,3224,0,95125
2.0,2.0,544,415.0,1742,652000,condo,1048,31,95110
1.5,3.0,22,430.0,1575,849000,Townhouse,1344,45,95126
2.5,3.0,83,340.0,1240,680000,condo,1520,39,95123
2.0,3.0,134,0.0,4791,735000,single_family_residential,1096,54,95116
2.0,3.0,579,0.0,6720,930000,single_family_residential,1551,46,95123
2.0,3.0,26,0.0,6700,1350000,single_family_residential,1750,53,95118
1.0,2.0,55,0.0,4968,699950,single_family_residential,996,79,95133
1.0,2.0,82,305.0,1500,468000,condo,910,47,95133
2.5,3.0,163,430.0,1606,975000,Townhouse,1441,43,95126
1.0,2.0,117,305.0,6537,490000,condo,903,47,95133
2.0,3.0,534,0.0,10000,890000,single_family_residential,1420,56,95118
2.0,3.0,127,0.0,4860,700000,single_family_residential,1105,54,95116
1.0,2.0,965,0.0,5334,875000,single_family_residential,1092,94,95125
2.0,4.0,587,0.0,6441,910000,single_family_residential,1555,56,95118
2.5,3.0,513,430.0,1575,800000,Townhouse,1418,45,95126
1.0,2.0,740,265.0,1500,385000,condo,903,47,95133
2.0,3.0,34,0.0,6554,925000,single_family_residential,1347,53,95123
2.5,3.0,140,361.0,610,743000,Townhouse,1320,37,95123
3.0,5.0,43,0.0,6100,1285000,single_family_residential,2167,53,95123
2.0,3.0,964,0.0,7348,850000,single_family_residential,1420,56,95118
2.0,3.0,8,0.0,7280,1250000,single_family_residential,1622,45,95135
2.0,2.0,817,0.0,4356,520000,single_family_residential,927,30,95116
3.0,4.0,40,0.0,7071,1300000,single_family_residential,1900,64,95125
2.0,3.0,56,0.0,6000,948800,single_family_residential,1662,46,95123
3.0,3.0,538,0.0,5985,1172000,single_family_residential,2398,118,95110
2.5,3.0,406,430.0,1650,882000,condo,1441,45,95126
2.0,4.0,796,0.0,6019,855000,single_family_residential,1702,49,95133
1.0,2.0,187,310.0,6000,450000,condo,810,47,95133
1.0,2.0,253,310.0,7580,467000,condo,798,47,95133
2.0,4.0,523,0.0,6600,953800,single_family_residential,1590,49,95133
3.5,4.0,623,0.0,6325,1900000,single_family_residential,2820,1,95125
1.5,2.0,974,430.0,1575,610000,Townhouse,1134,45,95126
1.0,1.0,1048,363.0,1742,390000,condo,876,31,95110
2.5,3.0,939,430.0,1650,749000,Townhouse,1441,45,95126
2.5,3.0,566,85.0,2613,892000,single_family_residential,1566,22,95133
2.0,3.0,320,0.0,7753,1350000,single_family_residential,1250,64,95125
2.5,4.0,35,0.0,7100,1050000,single_family_residential,1847,19,95123
1.5,2.0,862,430.0,1575,599000,condo,1134,45,95126
1.0,2.0,174,301.0,9641,480000,condo,903,47,95133
